Date,Macro_Rng_Ratio,Macro_IB_Ext,Macro_Ses_RVol,Macro_VIX,Macro_Gap,Macro_VwP_D,Macro_SMA_D,Macro_Auc_V,Regime_Label
2021-07-12,0.0,1.0,0.06,16.26,0.0,0.48,0.0,0.0,2
2021-07-13,13.0,0.0,0.16,17.02,-0.14,0.93,0.0,0.87,2
2021-07-14,15.29,1.0,0.28,16.42,-0.38,-1.82,0.0,0.17,2
2021-07-15,34.67,2.0,0.18,17.08,-1.48,-0.79,0.0,0.85,2
2021-07-16,7.88,1.0,0.08,17.92,-0.21,-0.01,0.0,0.65,2
2021-07-19,7.51,1.0,0.39,24.81,0.01,-2.67,0.0,0.13,2
2021-07-20,12.75,1.0,0.35,19.67,0.5,1.26,0.0,0.92,2
2021-07-21,19.57,1.0,0.27,18.02,-0.19,1.81,0.0,0.92,2
2021-07-22,12.0,0.0,0.3,17.67,0.0,1.24,0.0,0.84,2
2021-07-23,6.55,1.0,0.21,16.99,0.09,0.38,0.0,0.86,2
2021-07-26,10.17,0.0,0.27,17.77,0.0,0.69,0.0,0.86,2
2021-07-27,4.88,1.0,0.23,19.06,0.2,0.03,0.0,0.59,2
2021-07-28,3.71,1.0,0.22,17.83,0.42,0.18,0.0,0.6,2
2021-07-29,10.14,0.0,0.21,17.61,0.14,0.9,0.0,0.95,2
2021-07-30,5.38,1.0,0.23,18.06,-0.04,0.27,0.0,0.64,2
2021-08-02,15.32,1.0,0.36,19.42,0.27,-1.04,0.0,0.23,2
2021-08-03,15.22,1.0,0.4,17.76,-0.33,0.16,0.0,0.52,2
2021-08-04,14.1,2.0,0.44,17.87,0.38,-1.69,0.0,0.02,2
2021-08-05,6.73,1.0,0.34,17.46,0.42,1.09,0.0,0.93,2
2021-08-06,0.93,1.0,1.16,16.47,0.05,-1.26,0.0,0.13,1
2021-08-09,1.11,2.0,1.43,16.73,0.0,0.93,0.0,0.57,1
2021-08-10,0.95,0.0,1.1,16.74,-0.08,0.83,0.0,0.81,1
2021-08-11,1.07,1.0,1.3,15.9,0.0,1.94,0.0,0.95,1
2021-08-12,0.45,1.0,0.8,15.71,0.0,-0.32,0.0,0.38,1
2021-08-13,0.57,0.0,0.7,15.42,-0.02,-1.02,0.0,0.12,1
2021-08-16,1.03,1.0,1.03,16.15,-0.01,0.62,0.0,0.68,1
2021-08-17,0.55,1.0,0.7,18.09,-0.06,-0.37,0.0,0.31,1
2021-08-18,1.11,1.0,0.85,18.97,-0.08,-2.18,0.0,0.06,1
2021-08-19,0.89,1.0,1.26,20.9,0.04,0.95,0.0,0.69,1
2021-08-20,0.86,1.0,0.93,18.41,-0.02,-1.54,0.0,0.01,1
2021-08-23,1.73,0.0,1.19,17.07,0.07,1.45,0.0,0.87,1
2021-08-24,0.95,1.0,1.06,17.09,0.01,1.4,0.0,0.94,1
2021-08-25,0.64,0.0,1.07,16.66,0.0,1.0,0.0,0.85,1
2021-08-26,0.51,1.0,1.07,18.91,0.01,0.19,0.0,0.62,1
2021-08-27,0.63,0.0,0.73,16.32,0.01,0.29,0.0,0.81,1
2021-08-30,0.83,1.0,0.9,16.04,0.22,0.64,0.0,0.69,0
2021-08-31,0.49,0.0,0.68,16.91,0.0,-0.3,0.0,0.26,1
2021-09-01,0.92,1.0,0.86,15.94,0.0,0.23,0.0,0.54,1
2021-09-02,1.2,1.0,0.64,16.85,-0.04,0.18,0.0,0.68,1
2021-09-03,0.61,0.0,0.67,16.2,0.01,-0.84,0.0,0.1,1
2021-09-07,0.8,1.0,1.17,17.8,0.0,-0.39,0.0,0.37,1
2021-09-08,0.64,0.0,0.67,18.08,-0.02,0.35,0.0,0.73,1
2021-09-09,1.04,1.0,1.1,18.44,0.0,-1.4,0.0,0.16,1
2021-09-10,1.03,1.0,0.71,20.15,0.04,0.43,0.0,0.85,1
2021-09-13,0.65,0.0,0.85,20.18,-0.01,0.3,0.0,0.78,1
2021-09-14,0.56,1.0,0.74,20.11,0.0,-0.53,0.0,0.31,1
2021-09-15,1.17,0.0,0.78,18.24,-0.03,0.67,0.0,0.81,1
2021-09-16,0.66,1.0,0.9,18.32,-0.01,0.41,0.0,0.73,1
2021-09-17,0.68,2.0,0.44,20.64,-0.12,0.21,0.0,0.56,0
2021-09-20,1.04,1.0,1.23,27.57,0.0,0.2,1.57,0.47,1
2021-09-21,0.98,1.0,1.06,23.09,-0.01,0.24,1.56,0.6,1
2021-09-22,0.8,2.0,0.93,20.97,0.02,0.49,3.58,0.79,1
2021-09-23,0.9,0.0,0.96,18.58,0.0,0.83,5.48,0.86,1
2021-09-24,0.7,1.0,0.94,17.77,0.01,0.62,6.54,0.79,1
2021-09-27,0.84,0.0,0.97,18.33,0.04,0.41,8.72,0.87,1
2021-09-28,1.13,2.0,1.2,22.57,-0.01,-1.06,7.54,0.18,1
2021-09-29,1.0,1.0,1.06,22.33,-0.02,-0.41,6.92,0.4,1
2021-09-30,1.43,1.0,1.52,22.65,-0.02,0.41,7.24,0.61,1
2021-10-01,0.83,1.0,0.93,20.98,-0.07,1.1,8.27,0.87,1
2021-10-04,1.47,1.0,1.07,23.89,0.07,0.58,10.72,0.73,1
2021-10-05,0.94,0.0,0.85,20.92,-0.02,0.77,12.92,0.88,1
2021-10-06,1.4,1.0,1.19,21.46,-0.03,-1.27,9.6,0.08,1
2021-10-07,1.81,1.0,1.11,19.32,0.05,2.48,11.95,0.99,1
2021-10-08,0.66,1.0,1.06,18.39,-0.04,0.16,12.69,0.58,1
2021-10-11,1.18,1.0,1.14,19.53,0.01,-0.75,13.9,0.35,1
2021-10-12,0.95,0.0,1.13,19.4,0.01,-0.1,13.8,0.5,1
2021-10-13,0.72,1.0,0.84,18.85,0.0,0.43,13.5,0.7,1
2021-10-14,0.58,1.0,0.76,17.05,0.02,0.36,14.35,0.78,1
2021-10-15,0.51,1.0,0.68,16.1,0.0,0.25,15.13,0.77,1
2021-10-18,0.92,2.0,0.69,16.43,-0.42,-0.76,13.77,0.18,0
2021-10-19,0.9,1.0,1.06,15.63,-0.01,0.16,14.27,0.6,1
2021-10-20,1.27,1.0,1.11,15.59,-0.02,1.39,15.22,0.93,1
2021-10-21,1.47,1.0,1.46,15.09,-0.02,0.32,13.87,0.59,1
2021-10-22,1.05,1.0,1.13,15.41,0.0,1.37,15.39,0.99,1
2021-10-25,0.91,1.0,1.27,15.34,-0.04,-1.2,14.06,0.02,1
2021-10-26,0.86,1.0,1.09,15.75,0.02,0.74,15.14,0.84,1
2021-10-27,1.13,2.0,1.5,16.44,-0.05,-1.58,11.18,0.0,1
2021-10-28,1.17,1.0,1.61,16.46,0.04,1.6,12.19,0.99,1
2021-10-29,1.04,0.0,1.42,16.61,-0.05,0.75,11.87,0.81,1
2021-11-01,0.95,1.0,1.28,16.65,0.0,-0.04,12.13,0.57,1
2021-11-02,0.66,0.0,1.33,15.97,-0.12,-0.1,10.92,0.41,0
2021-11-03,1.55,0.0,1.62,15.25,0.01,-2.1,5.56,0.05,0
2021-11-04,2.24,0.0,2.36,15.75,0.02,-2.5,4.15,0.16,0
2021-11-05,1.16,1.0,1.47,16.63,0.04,1.62,7.01,0.89,1
2021-11-08,0.66,1.0,1.03,17.22,-0.05,0.36,7.63,0.76,1
2021-11-09,1.13,1.0,1.02,18.1,-0.02,2.07,10.03,0.95,1
2021-11-10,1.71,1.0,1.23,18.81,0.0,-2.24,5.66,0.13,1
2021-11-11,0.84,0.0,1.15,17.53,0.0,-0.26,5.03,0.43,1
2021-11-12,0.73,1.0,1.01,16.26,0.03,0.21,4.25,0.56,1
2021-11-15,0.77,1.0,0.79,16.67,-0.02,1.05,4.04,0.82,1
2021-11-16,0.73,1.0,0.7,16.06,-0.02,-0.29,3.61,0.42,1
2021-11-17,1.24,1.0,0.2,16.94,0.02,-1.53,0.25,0.24,1
2021-11-18,0.96,1.0,1.06,17.22,-0.29,0.96,-0.08,0.8,0
2021-11-19,1.74,2.0,1.32,18.17,0.03,-1.56,-3.77,0.13,1
2021-11-22,0.97,0.0,1.01,17.93,0.09,0.35,-3.04,0.66,1
2021-11-23,1.41,1.0,0.81,19.7,0.0,2.11,-0.15,0.96,1
2021-11-24,0.49,2.0,0.7,18.83,0.0,-0.33,-0.94,0.24,1
2021-11-29,1.41,1.0,1.49,22.07,0.16,-2.24,-11.87,0.21,0
2021-11-30,2.23,1.0,1.61,27.57,0.0,-1.57,-15.84,0.3,0
2021-12-01,1.44,1.0,1.46,29.42,0.0,-3.72,-17.48,0.06,0
2021-12-02,1.49,1.0,1.38,28.09,0.01,1.68,-15.14,0.9,1
2021-12-03,1.06,1.0,0.91,31.7,0.03,-2.04,-15.79,0.19,1
2021-12-06,1.08,1.0,0.88,27.63,0.06,2.35,-11.15,0.91,1
2021-12-07,1.03,1.0,0.97,22.63,0.0,-0.35,-8.97,0.55,1
2021-12-08,0.61,1.0,0.97,20.11,0.03,0.72,-7.4,0.81,1
2021-12-09,0.89,1.0,0.82,21.83,-0.01,-1.89,-10.02,0.04,1
2021-12-10,0.61,1.0,0.88,18.97,0.01,0.85,-8.05,0.82,1
2021-12-13,0.7,0.0,1.04,20.0,-0.01,-0.62,-8.92,0.23,1
