Date,Timestamp,Engine,Action,Is_Win,Trade_Exact_PnL,Duration_Bars,Micro_Rng,Micro_A5,Micro_RV
2023-08-01,2023-08-01 11:01:00,Pit_Brk_S,SELL,0,-240,61,0.56,0.21,1.08
2023-08-15,2023-08-15 10:00:00,Pit_Brk_S,SELL,1,495,5,1.69,0.22,4.06
2023-09-28,2023-09-28 09:17:00,Pit_Brk_S,SELL,1,495,60,1.74,0.22,1.91
2023-09-29,2023-09-29 09:48:00,Pit_Brk_S,SELL,1,495,17,1.58,0.24,3.1
2023-10-04,2023-10-04 09:35:00,Pit_Brk_S,SELL,1,495,11,1.86,0.23,1.68
2023-10-10,2023-10-10 10:35:00,Pit_Brk_S,SELL,0,-705,61,1.44,0.26,3.13
2023-10-11,2023-10-11 09:27:00,Pit_Brk_S,SELL,1,495,25,1.55,0.25,4.75
2023-10-17,2023-10-17 11:25:00,Pit_Brk_S,SELL,1,495,4,0.76,0.26,2.74
2023-10-18,2023-10-18 09:20:00,Pit_Brk_S,SELL,1,165,61,1.82,0.24,1.16
2023-10-24,2023-10-24 09:25:00,Pit_Brk_S,SELL,1,495,5,1.18,0.2,3.02
2023-10-31,2023-10-31 09:31:00,Pit_Brk_S,SELL,1,495,20,0.81,0.22,4.5
2023-11-07,2023-11-07 09:28:00,Pit_Brk_S,SELL,1,495,27,1.15,0.2,4.82
2023-11-08,2023-11-08 10:55:00,Pit_Brk_S,SELL,1,495,4,1.65,0.25,0.76
2023-11-22,2023-11-22 10:03:00,Pit_Brk_S,SELL,0,-1035,45,3.89,0.31,4.86
2023-11-29,2023-11-29 10:01:00,Pit_Brk_S,SELL,1,495,9,1.52,0.19,4.23
2023-11-30,2023-11-30 10:45:00,Pit_Brk_S,SELL,1,495,13,1.69,0.39,6.76
2023-12-06,2023-12-06 09:01:00,Pit_Brk_S,SELL,1,495,1,1.52,0.19,6.85
2023-12-12,2023-12-12 09:01:00,Pit_Brk_S,SELL,1,495,2,1.83,0.18,5.87
2024-01-02,2024-01-02 09:23:00,Pit_Brk_S,SELL,1,495,8,1.22,0.22,2.24
2024-01-10,2024-01-10 12:30:00,Pit_Brk_S,SELL,1,495,18,1.81,0.23,1.79
2024-01-12,2024-01-12 10:32:00,Pit_Brk_S,SELL,1,495,40,1.82,0.22,5.23
2024-01-16,2024-01-16 10:07:00,Pit_Brk_S,SELL,0,-120,61,1.46,0.22,1.84
2024-01-23,2024-01-23 09:01:00,Pit_Brk_S,SELL,0,-1035,24,1.59,0.14,6.43
2024-01-28,2024-01-28 20:58:00,Asia_Brk_S,SELL,0,-75,61,0.56,0.15,0.35
2024-02-20,2024-02-20 10:38:00,Pit_Brk_S,SELL,1,495,3,1.17,0.2,1.11
2024-03-08,2024-03-08 10:24:00,Pit_Brk_S,SELL,1,495,54,1.78,0.22,3.46
2024-05-14,2024-05-14 10:16:00,Pit_Brk_S,SELL,1,495,20,0.76,0.2,0.68
2024-07-30,2024-07-30 10:22:00,Pit_Brk_S,SELL,1,165,61,0.93,0.21,1.09
2024-08-02,2024-08-02 09:27:00,Pit_Brk_S,SELL,1,495,4,2.85,0.27,1.68
2024-08-04,2024-08-04 21:33:00,Asia_Brk_S,SELL,0,-420,61,2.85,0.21,0.49
2024-09-03,2024-09-03 09:04:00,Pit_Brk_S,SELL,1,495,5,2.57,0.22,1.32
2024-09-10,2024-09-10 10:06:00,Pit_Brk_S,SELL,1,495,1,1.09,0.22,4.58
2024-09-24,2024-09-24 11:47:00,Pit_Brk_S,SELL,0,-165,61,1.07,0.2,0.36
2024-09-25,2024-09-25 12:20:00,Pit_Brk_S,SELL,0,-330,61,1.76,0.27,12.17
2024-10-02,2024-10-02 11:00:00,Pit_Brk_S,SELL,1,495,19,1.55,0.28,0.82
2024-10-08,2024-10-08 09:10:00,Pit_Brk_S,SELL,1,495,34,0.95,0.23,15.95
2024-10-09,2024-10-09 09:11:00,Pit_Brk_S,SELL,1,495,2,1.59,0.22,4.01
2025-01-14,2025-01-14 09:58:00,Pit_Brk_S,SELL,1,495,25,1.05,0.2,3.31
2025-04-03,2025-04-03 09:17:00,Pit_Brk_S,SELL,0,-1035,17,3.12,0.23,1.03
2025-04-04,2025-04-04 10:47:00,Pit_Brk_S,SELL,0,-1035,14,5.11,0.3,3.66
2025-04-09,2025-04-09 20:33:00,Asia_Brk_S,SELL,1,495,11,3.15,0.16,3.67
2025-04-10,2025-04-10 09:04:00,Pit_Brk_S,SELL,1,495,33,2.21,0.2,6.12
2025-04-10,2025-04-10 21:38:00,Asia_Brk_S,SELL,1,120,61,2.21,0.15,0.84
2025-04-23,2025-04-23 10:12:00,Pit_Brk_S,SELL,1,495,4,2.25,0.27,11.2
