Date,Macro_Rng_Ratio,Macro_IB_Ext,Macro_Ses_RVol,Macro_VIX,Macro_Gap,Macro_VwP_D,Macro_SMA_D,Macro_Auc_V,Regime_Label
2019-05-07,0.0,1.0,1.36,15.14,0.0,0.46,0.0,0.0,0
2019-05-08,1.72,1.0,2.17,20.98,-0.94,0.17,0.0,0.56,0
2019-05-09,1.43,2.0,1.82,18.84,-0.58,-0.01,0.0,0.53,0
2019-05-10,4.26,1.0,2.86,19.29,-3.18,0.54,0.0,0.89,0
2019-05-13,4.19,2.0,3.12,15.63,-0.75,1.07,0.0,0.91,0
2019-05-14,3.27,2.0,3.06,20.13,-5.48,-0.32,0.0,0.14,0
2019-05-15,2.64,1.0,1.28,17.86,1.28,-0.04,0.0,0.57,0
2019-05-16,5.53,0.0,1.56,16.46,-2.72,0.35,0.0,0.89,0
2019-05-17,4.0,0.0,1.53,15.45,0.54,-0.16,0.0,0.55,0
2019-05-20,4.0,2.0,2.42,15.8,-2.91,-0.3,0.0,0.26,0
2019-05-21,3.62,0.0,2.03,16.6,-3.08,-0.07,0.0,0.5,0
2019-05-22,2.48,1.0,1.17,15.01,2.7,0.09,0.0,0.68,0
2019-05-23,3.0,0.0,1.24,14.65,-2.05,-0.08,0.0,0.33,0
2019-05-24,2.49,1.0,2.4,16.84,-2.35,0.03,0.0,0.51,0
2019-05-28,3.04,1.0,1.3,15.9,2.64,0.07,0.0,0.54,0
2019-05-29,3.26,2.0,1.51,17.12,-0.12,-0.66,0.0,0.11,0
2019-05-30,2.16,1.0,2.44,18.09,-1.35,-0.01,0.0,0.54,0
2019-05-31,2.6,1.0,1.6,17.68,1.06,0.1,0.0,0.63,0
2019-06-03,3.0,2.0,2.33,18.71,-4.65,-0.24,0.0,0.12,0
2019-06-04,0.81,2.0,1.45,19.47,-0.03,0.13,0.0,0.61,1
2019-06-05,1.0,1.0,0.8,17.24,0.45,0.83,0.0,1.0,1
2019-06-06,0.62,1.0,0.93,16.36,0.32,0.42,0.0,0.99,2
2019-06-07,0.69,1.0,0.76,15.93,0.06,0.39,0.0,0.76,2
2019-06-10,0.73,0.0,0.66,16.08,0.25,-0.01,0.0,0.63,2
2019-06-11,0.45,0.0,0.49,16.1,0.37,-0.2,0.0,0.15,2
2019-06-12,0.75,1.0,0.77,16.29,0.42,-0.22,0.0,0.22,2
2019-06-13,0.34,1.0,0.55,15.88,-0.06,0.01,0.0,0.43,2
2019-06-14,0.34,0.0,0.63,15.96,0.23,0.17,0.0,0.85,2
2019-06-17,0.37,1.0,0.25,15.38,-0.14,0.15,0.0,0.68,2
2019-06-18,0.28,0.0,0.05,15.33,0.01,-0.04,0.0,0.45,2
2019-06-19,0.69,0.0,0.97,15.13,0.58,0.05,0.0,0.64,2
2019-06-20,0.65,1.0,0.88,14.24,-0.04,0.24,0.0,0.85,2
2019-06-21,0.72,2.0,0.99,14.37,0.72,0.36,0.0,0.96,2
2019-06-24,0.51,2.0,0.83,15.04,-0.18,-0.25,0.0,0.05,2
2019-06-25,0.3,1.0,0.64,15.36,0.14,-0.12,0.0,0.3,2
2019-06-26,0.88,1.0,1.03,16.17,-0.04,-0.44,0.0,0.07,2
2019-06-27,0.56,1.0,0.74,16.33,0.25,-0.28,0.0,0.05,2
2019-06-28,0.32,0.0,0.68,15.97,0.24,0.09,0.0,0.8,2
2019-07-01,0.65,2.0,0.69,16.04,0.21,0.48,0.0,0.99,2
2019-07-02,0.78,1.0,0.84,14.15,0.72,0.03,0.0,0.46,2
2019-07-03,0.63,2.0,0.87,13.12,0.0,0.41,0.0,0.99,2
2019-07-08,0.79,1.0,0.95,13.17,-0.46,0.19,0.0,0.71,2
2019-07-09,0.34,1.0,0.91,13.87,-0.26,-0.03,0.0,0.37,2
2019-07-10,0.63,1.0,0.84,14.1,-0.35,0.21,0.0,0.82,2
2019-07-11,0.59,1.0,1.15,13.16,0.38,0.03,0.0,0.49,2
2019-07-12,0.42,1.0,1.05,13.11,0.18,0.14,0.0,0.85,2
2019-07-15,0.39,1.0,0.67,12.4,0.15,0.16,0.0,0.78,2
2019-07-16,0.29,1.0,0.65,12.76,0.21,0.03,0.0,0.53,2
2019-07-17,0.49,1.0,0.83,12.79,-0.02,-0.15,3.81,0.15,2
2019-07-18,0.85,0.0,0.8,13.5,0.03,-0.41,3.04,0.05,2
2019-07-19,0.87,1.0,1.03,13.44,-0.16,0.33,3.43,0.85,2
2019-07-22,1.12,2.0,1.16,14.12,0.39,-0.58,2.66,0.04,2
2019-07-23,0.49,1.0,0.82,13.55,0.22,0.14,3.01,0.75,2
