Date,Macro_Rng_Ratio,Macro_IB_Ext,Macro_Ses_RVol,Macro_VIX,Macro_Gap,Macro_VwP_D,Macro_SMA_D,Macro_Auc_V,Regime_Label
2023-07-24,0.0,2.0,0.69,12.34,0.0,-0.36,-0.34,0.0,1
2023-07-25,0.68,1.0,0.77,12.43,0.0,0.24,0.23,0.92,1
2023-07-26,0.78,6.0,0.89,12.12,-0.03,0.24,0.8,0.78,1
2023-07-27,1.98,1.0,1.07,12.27,0.01,-0.78,-0.8,0.07,0
2023-07-28,0.81,9.0,0.82,11.79,1.78,0.24,2.05,0.76,0
2023-07-31,0.99,0.0,0.64,12.16,-0.02,0.16,2.33,0.69,1
2023-08-01,1.1,8.0,0.78,11.82,0.03,-0.35,1.2,0.14,1
2023-08-02,0.94,8.0,0.82,12.45,0.12,-0.46,0.65,0.12,0
2023-08-03,0.4,0.0,0.76,12.78,0.05,-0.06,0.54,0.45,1
2023-08-04,1.08,6.0,0.83,12.22,0.03,0.13,0.92,0.73,1
2023-08-07,0.65,0.0,0.61,12.24,-0.02,-0.01,0.67,0.36,1
2023-08-08,0.7,1.0,0.83,12.22,0.0,-0.21,0.03,0.18,1
2023-08-09,0.76,2.0,0.79,12.34,-0.01,-0.41,-0.51,0.01,1
2023-08-10,0.81,10.0,1.04,11.83,0.0,-0.35,-0.67,0.04,1
2023-08-11,0.47,4.0,0.77,11.54,0.04,-0.13,-0.65,0.26,1
2023-08-14,0.64,7.0,0.79,11.98,-0.02,-0.12,-0.94,0.38,1
2023-08-15,0.75,7.0,1.02,12.18,0.0,-0.11,-1.15,0.41,1
2023-08-16,0.75,2.0,0.81,12.41,-0.01,-0.51,-1.72,0.03,1
2023-08-17,0.92,3.0,0.97,12.86,0.03,-0.25,-1.85,0.24,1
2023-08-18,0.48,6.0,0.7,12.65,-0.01,-0.13,-1.8,0.26,1
2023-08-21,0.7,3.0,0.99,12.92,0.0,0.2,-1.5,0.71,1
2023-08-22,0.78,1.0,0.88,12.6,-0.02,0.03,-1.32,0.54,1
2023-08-23,1.18,7.0,1.1,12.68,0.01,0.37,-0.27,0.83,1
2023-08-24,0.6,4.0,0.88,12.54,0.0,-0.07,-0.28,0.48,1
2023-08-25,0.98,7.0,1.08,12.1,-0.02,0.03,-0.46,0.53,1
2023-08-28,0.72,12.0,0.68,12.21,0.04,0.07,-0.11,0.52,1
2023-08-29,1.27,7.0,1.05,12.5,-0.01,0.55,0.87,0.99,1
2023-08-30,0.74,11.0,0.73,12.36,0.02,0.06,1.15,0.61,1
2023-08-31,0.48,5.0,0.7,11.78,0.05,-0.17,0.9,0.15,1
