Date,Timestamp,Engine,Action,Is_Win,Trade_Exact_PnL,Duration_Bars,Micro_Rng,Micro_A5,Micro_RV
2024-04-12,2024-04-12 11:33:00,V2_Rev_L,BUY,1,580,1,10.8,6.19,2.36
2024-09-04,2024-09-04 08:45:00,COMEX_Swp_S_E,SELL,1,285,0,19.8,2.01,3.17
2024-11-14,2024-11-14 08:43:00,COMEX_Swp_S_E,SELL,1,405,7,23.5,2.92,2.63
2024-11-22,2024-11-22 06:44:00,Lon_Viper_L,BUY,0,-675,7,16.8,2.86,1.23
2024-11-25,2024-11-25 20:34:00,Asia_Bullet_L,BUY,0,-315,61,0.0,3.79,1.92
2024-12-02,2024-12-02 08:32:00,COMEX_Swp_S_E,SELL,0,-660,41,20.1,2.77,1.65
2024-12-09,2024-12-09 02:34:00,Asia_Bullet_L,BUY,0,-420,3,0.0,1.69,2.4
2025-02-17,2025-02-17 01:05:00,Asia_Bullet_L,BUY,0,-540,22,0.0,2.24,2.28
2025-03-06,2025-03-06 09:11:00,COMEX_Swp_S_E,SELL,1,570,13,21.3,4.02,1.45
2025-03-31,2025-03-31 04:08:00,Lon_Viper_L,BUY,0,-720,11,10.0,3.01,2.61
2025-04-02,2025-04-02 04:35:00,Lon_Viper_L,BUY,0,-705,27,24.2,2.96,3.08
2025-04-04,2025-04-04 07:08:00,Lon_Viper_L,BUY,1,616,1,45.7,5.97,2.36
2025-04-07,2025-04-07 01:25:00,Asia_Bullet_L,BUY,0,-1012,36,0.0,5.99,1.14
2025-04-08,2025-04-08 21:32:00,Asia_Bullet_L,BUY,1,627,0,0.0,5.99,1.95
2025-04-10,2025-04-10 20:21:00,Asia_Bullet_L,BUY,1,525,0,0.0,3.68,1.28
2025-04-11,2025-04-11 04:23:00,Lon_Viper_L,BUY,1,594,0,29.6,5.72,2.46
2025-04-16,2025-04-16 04:03:00,Lon_Viper_L,BUY,1,540,0,10.6,3.82,3.09
2025-04-21,2025-04-21 07:32:00,Lon_Viper_L,BUY,1,435,3,16.6,3.06,2.57
2025-04-21,2025-04-21 21:37:00,Asia_Bullet_L,BUY,1,594,8,0.0,5.74,4.02
2025-04-22,2025-04-22 12:03:00,V2_Rev_L,BUY,0,-1016,13,37.2,8.3,5.49
2025-04-22,2025-04-22 20:48:00,Asia_Bullet_L,BUY,1,620,5,0.0,6.56,2.7
2025-04-24,2025-04-24 02:20:00,Asia_Bullet_L,BUY,1,624,5,0.0,5.08,1.23
2025-05-02,2025-05-02 11:38:00,V2_Rev_L,BUY,0,-940,23,17.3,6.12,2.75
2025-05-05,2025-05-05 08:19:00,COMEX_Swp_S_E,SELL,1,480,14,60.9,3.38,3.51
2025-05-08,2025-05-08 11:43:00,V2_Rev_L,BUY,0,-970,7,22.5,6.29,2.11
2025-05-09,2025-05-09 07:27:00,Lon_Viper_L,BUY,1,405,0,14.8,2.92,8.67
2025-05-20,2025-05-20 21:01:00,Asia_Bullet_L,BUY,0,-750,0,0.0,3.15,8.39
2025-05-23,2025-05-23 07:45:00,Lon_Viper_L,BUY,1,525,2,14.4,3.76,9.47
2025-05-27,2025-05-27 20:07:00,Asia_Bullet_L,BUY,1,300,23,0.0,2.15,2.27
