Date,Macro_Rng_Ratio,Macro_IB_Ext,Macro_Ses_RVol,Macro_VIX,Macro_Gap,Macro_VwP_D,Macro_SMA_D,Macro_Auc_V,Regime_Label
2019-05-07,0.0,1.0,0.84,18.7,0.0,0.48,0.0,0.0,2
2019-05-08,1.83,2.0,1.46,22.86,-0.93,0.24,0.0,0.54,0
2019-05-09,1.63,2.0,1.43,22.52,-0.81,0.01,0.0,0.53,0
2019-05-10,5.32,1.0,1.61,22.03,-3.84,0.61,0.0,0.83,0
2019-05-13,3.87,2.0,1.37,19.1,-0.59,1.17,0.0,0.87,0
2019-05-14,4.43,2.0,1.22,25.25,-6.83,-0.64,0.0,0.02,0
2019-05-15,3.53,1.0,0.69,22.23,1.8,0.05,0.0,0.67,0
2019-05-16,7.47,0.0,0.78,19.92,-2.34,0.66,0.0,0.95,0
2019-05-17,5.09,0.0,0.93,18.4,-0.38,0.0,0.0,0.69,0
2019-05-20,4.23,2.0,1.44,19.39,-3.15,-0.61,0.0,0.05,0
2019-05-21,4.72,0.0,1.68,21.64,-6.23,-0.15,0.0,0.41,0
2019-05-22,3.01,1.0,1.2,19.58,2.97,0.07,0.0,0.63,0
2019-05-23,2.25,0.0,0.91,19.84,-1.79,-0.2,0.0,0.16,0
2019-05-24,2.1,1.0,1.98,21.31,-2.23,0.08,0.0,0.59,0
2019-05-28,3.55,1.0,1.16,20.63,1.92,-0.26,0.0,0.2,0
2019-05-29,3.9,1.0,1.36,21.83,0.57,-0.45,0.0,0.15,0
2019-05-30,2.45,0.0,1.8,22.23,-1.71,-0.12,0.0,0.41,0
2019-05-31,2.77,1.0,1.29,21.68,1.12,0.16,0.0,0.76,0
2019-06-03,3.23,2.0,1.52,23.23,-4.88,-0.35,0.0,0.08,0
2019-06-04,3.37,1.0,2.35,24.22,-0.34,-0.49,0.0,0.29,0
2019-06-05,1.02,1.0,1.04,21.49,0.36,1.0,0.0,0.99,2
2019-06-06,0.59,0.0,0.94,20.87,0.37,0.37,0.0,0.84,2
2019-06-07,0.63,2.0,0.73,20.32,0.06,0.5,0.0,0.8,2
2019-06-10,0.94,0.0,0.8,19.93,0.25,0.13,0.0,0.78,2
2019-06-11,0.71,0.0,0.83,19.98,0.32,-0.2,0.0,0.43,2
2019-06-12,0.71,1.0,0.77,20.22,0.47,-0.28,0.0,0.24,2
2019-06-13,0.34,1.0,0.55,20.58,-0.14,-0.09,0.0,0.25,2
2019-06-14,0.32,0.0,0.53,20.03,0.21,0.16,0.0,0.73,2
2019-06-17,0.33,1.0,0.25,19.85,-0.33,0.01,0.0,0.44,2
2019-06-18,0.42,0.0,0.08,20.04,0.14,0.04,0.0,0.72,2
2019-06-19,0.7,0.0,0.75,19.51,0.79,-0.1,0.0,0.52,2
2019-06-20,0.6,1.0,0.75,18.8,0.03,0.4,0.0,0.87,2
2019-06-21,0.7,1.0,0.74,18.71,0.72,0.26,0.0,0.71,2
2019-06-24,0.49,3.0,1.01,19.18,-0.17,-0.2,0.0,0.21,2
2019-06-25,0.21,0.0,0.55,19.46,0.13,-0.06,0.0,0.36,2
2019-06-26,1.1,1.0,1.08,20.77,-0.08,-0.59,0.0,0.14,2
2019-06-27,0.57,1.0,0.86,20.46,0.31,-0.34,0.0,0.1,2
2019-06-28,0.3,0.0,0.62,20.07,0.24,0.07,0.0,0.72,2
2019-07-01,0.48,1.0,0.76,19.76,0.08,0.46,0.0,0.99,2
2019-07-02,0.73,1.0,0.98,17.64,0.9,-0.05,0.0,0.36,2
