Date,Timestamp,Engine,Action,Is_Win,Trade_Exact_PnL,Duration_Bars,Micro_Rng,Micro_A5,Micro_RV
2023-07-26,2023-07-26 12:23:00,M4_S,SELL,1,607.5,13,0.0,17.14,1.17
2023-07-26,2023-07-26 15:10:00,PH_Rev_L,BUY,1,589.5,10,0.0,34.85,1.36
2023-07-27,2023-07-27 09:39:00,AE_L,BUY,0,-939.0,48,0.0,51.09,1.04
2023-07-28,2023-07-28 10:31:00,Grind_L,BUY,1,576.0,45,0.0,33.98,1.29
2023-07-28,2023-07-28 13:22:00,Box_S,SELL,1,607.5,13,0.0,19.89,2.64
2023-08-01,2023-08-01 11:05:00,Retest_L_E,BUY,1,576.0,23,0.0,25.66,0.86
2023-08-01,2023-08-01 12:24:00,M4_S,SELL,1,607.5,7,0.0,19.3,1.22
2023-08-02,2023-08-02 15:19:00,PH_Rev_L,BUY,1,607.5,25,0.0,19.49,1.32
2023-08-03,2023-08-03 09:42:00,AE_L,BUY,1,594.0,5,0.0,28.72,1.36
2023-08-03,2023-08-03 09:48:00,Ext_ORB_L,BUY,1,535.0,172,0.0,28.42,3.22
2023-08-07,2023-08-07 09:58:00,AE_S,SELL,1,605.0,2,0.0,32.21,1.02
2023-08-08,2023-08-08 09:43:00,AE_S,SELL,1,616.0,1,0.0,23.38,1.23
2023-08-10,2023-08-10 09:47:00,Ext_ORB_L,BUY,0,-1036.0,121,0.0,28.58,2.76
2023-08-11,2023-08-11 10:31:00,Grind_L,BUY,0,-936.0,21,0.0,33.58,0.6
2023-08-14,2023-08-14 09:41:00,Ext_ORB_L,BUY,1,530.0,31,0.0,23.22,2.59
2023-08-16,2023-08-16 09:45:00,AE_L,BUY,1,622.5,3,0.0,22.18,0.67
2023-08-16,2023-08-16 09:49:00,Ext_ORB_L,BUY,0,-1110.0,141,0.0,22.18,2.42
2023-08-16,2023-08-16 15:10:00,PH_Rev_L,BUY,0,-1029.0,2,0.0,23.42,0.91
2023-08-17,2023-08-17 13:54:00,Box_L,BUY,0,-1020.0,21,0.0,18.86,1.06
2023-08-18,2023-08-18 10:31:00,Grind_L,BUY,1,620.0,4,0.0,32.85,0.96
2023-08-18,2023-08-18 11:01:00,IB_L,BUY,0,-1034.0,39,0.0,30.19,2.01
2023-08-18,2023-08-18 13:11:00,Box_S,SELL,1,595.0,14,0.0,22.6,2.03
2023-08-22,2023-08-22 09:41:00,Ext_ORB_S,SELL,1,564.0,50,0.0,24.61,2.92
2023-08-23,2023-08-23 10:42:00,IB_L,BUY,1,611.0,7,0.0,25.09,1.7
2023-08-23,2023-08-23 13:36:00,Late_S,SELL,1,607.5,43,0.0,14.5,0.77
2023-08-25,2023-08-25 09:49:00,AE_L,BUY,1,605.0,13,0.0,29.21,1.31
2023-08-25,2023-08-25 11:21:00,Creep_S,SELL,0,-969.5,8,0.0,45.14,0.48
2023-08-25,2023-08-25 14:27:00,Late_S,SELL,0,-1006.5,33,0.0,29.4,0.77
2023-08-29,2023-08-29 09:46:00,Ext_ORB_L,BUY,1,630.0,18,0.0,22.87,3.44
2023-08-29,2023-08-29 10:31:00,IB_L,BUY,1,624.0,41,0.0,27.74,1.42
2023-08-30,2023-08-30 09:55:00,Ext_ORB_L,BUY,1,577.5,19,0.0,23.32,2.54
2023-08-31,2023-08-31 10:09:00,AE_L,BUY,1,611.0,6,0.0,25.2,0.8
2023-09-05,2023-09-05 10:49:00,Retest_L_E,BUY,1,604.5,3,0.0,24.78,0.85
2023-09-05,2023-09-05 10:53:00,IB_L,BUY,1,588.0,13,0.0,26.08,1.72
2023-09-06,2023-09-06 15:07:00,PH_Rev_L,BUY,1,607.5,8,0.0,16.45,0.99
2023-09-07,2023-09-07 09:42:00,Ext_ORB_L,BUY,1,90.0,207,0.0,31.0,2.5
2023-09-07,2023-09-07 13:09:00,Box_S,SELL,0,-1020.0,12,0.0,21.02,1.69
2023-09-08,2023-09-08 10:03:00,AE_L,BUY,1,609.0,3,0.0,23.28,1.17
2023-09-13,2023-09-13 10:41:00,IB_L,BUY,1,612.0,43,0.0,27.07,1.51
2023-09-13,2023-09-13 11:52:00,Box_S,SELL,0,-435.0,5,0.0,21.15,3.13
2023-09-13,2023-09-13 11:57:00,Retest_L_E,BUY,1,595.0,2,0.0,22.76,0.54
2023-09-13,2023-09-13 14:22:00,M4_S,SELL,1,607.5,29,0.0,15.39,1.19
2023-09-18,2023-09-18 09:58:00,AE_L,BUY,1,623.0,14,0.0,23.79,0.96
2023-09-18,2023-09-18 10:25:00,Retest_L_E,BUY,0,-1001.0,12,0.0,24.65,0.59
2023-09-19,2023-09-19 11:28:00,Box_L,BUY,1,607.5,88,0.0,19.31,1.1
2023-09-19,2023-09-19 14:39:00,PH_Rev_S,SELL,1,607.5,9,0.0,14.85,1.65
2023-09-20,2023-09-20 14:02:00,PH_Rev_L,BUY,1,607.5,4,0.0,13.86,8.23
2023-09-21,2023-09-21 09:51:00,Ext_ORB_S,SELL,1,582.0,321,0.0,37.35,1.63
2023-09-25,2023-09-25 09:41:00,Ext_ORB_L,BUY,1,540.0,156,0.0,29.96,2.58
2023-09-25,2023-09-25 13:54:00,Box_S,SELL,1,607.5,64,0.0,19.09,1.4
2023-09-28,2023-09-28 10:31:00,Grind_L,BUY,1,571.5,12,0.0,33.74,1.94
2023-09-28,2023-09-28 13:35:00,Late_S,SELL,1,604.5,61,0.0,24.74,0.67
2023-09-28,2023-09-28 15:19:00,PH_Rev_S,SELL,1,609.0,17,0.0,23.27,0.68
2023-10-03,2023-10-03 09:51:00,Ext_ORB_L,BUY,0,-1041.0,13,0.0,30.77,2.41
2023-10-04,2023-10-04 09:39:00,Ext_ORB_L,BUY,1,558.0,139,0.0,22.95,1.93
2023-10-04,2023-10-04 13:53:00,Box_S,SELL,1,622.5,31,0.0,22.17,1.43
2023-10-05,2023-10-05 14:04:00,PH_Rev_S,SELL,1,607.5,6,0.0,21.03,0.97
2023-10-06,2023-10-06 10:31:00,IB_L,BUY,1,572.0,16,0.0,37.87,1.47
2023-10-06,2023-10-06 13:42:00,Late_S,SELL,0,-1020.0,46,0.0,21.43,0.72
2023-10-09,2023-10-09 09:43:00,Ext_ORB_L,BUY,1,600.0,158,0.0,28.44,3.34
2023-10-10,2023-10-10 13:06:00,Box_S,SELL,1,607.5,8,0.0,18.8,5.54
2023-10-12,2023-10-12 12:50:00,M4_S,SELL,1,607.5,11,0.0,20.65,1.25
2023-10-16,2023-10-16 10:10:00,AE_L,BUY,1,585.0,8,0.0,31.1,0.68
2023-10-16,2023-10-16 10:31:00,IB_L,BUY,0,-1028.5,71,0.0,30.15,2.09
2023-10-17,2023-10-17 10:36:00,IB_L,BUY,1,590.0,43,0.0,31.43,1.53
2023-10-18,2023-10-18 10:31:00,Grind_L,BUY,0,-1025.0,23,0.0,33.08,1.51
2023-10-19,2023-10-19 10:18:00,AE_S,SELL,1,575.0,10,0.0,30.62,0.98
2023-10-20,2023-10-20 10:31:00,Grind_S,SELL,1,571.5,14,0.0,33.83,1.11
2023-10-24,2023-10-24 10:31:00,Grind_L,BUY,0,-999.0,61,0.0,35.95,1.51
2023-10-25,2023-10-25 09:57:00,AE_S,SELL,1,603.0,17,0.0,35.58,1.22
2023-10-26,2023-10-26 09:40:00,Ext_ORB_S,SELL,1,523.5,43,0.0,31.84,3.03
2023-10-27,2023-10-27 10:31:00,Grind_L,BUY,1,624.0,37,0.0,41.3,0.93
2023-10-31,2023-10-31 10:37:00,AE_S,SELL,1,594.0,3,0.0,26.34,0.76
2023-10-31,2023-10-31 13:40:00,Late_S,SELL,0,-994.0,15,0.0,22.51,0.83
2023-10-31,2023-10-31 15:03:00,PH_Rev_S,SELL,1,607.5,20,0.0,19.14,1.26
2023-11-01,2023-11-01 10:14:00,AE_L,BUY,1,585.0,6,0.0,24.09,1.13
2023-11-02,2023-11-02 10:31:00,Grind_L,BUY,1,625.0,21,0.0,33.08,1.11
2023-11-02,2023-11-02 13:01:00,Box_S,SELL,0,-1020.0,14,0.0,18.24,1.35
2023-11-03,2023-11-03 09:46:00,Ext_ORB_L,BUY,1,591.0,14,0.0,21.36,2.98
2023-11-06,2023-11-06 10:42:00,Retest_L_E,BUY,0,-987.0,5,0.0,22.47,0.99
2023-11-07,2023-11-07 10:18:00,Retest_L_E,BUY,1,607.5,2,0.0,20.37,0.61
2023-11-09,2023-11-09 12:16:00,M4_S,SELL,1,607.5,23,0.0,18.71,1.21
2023-11-10,2023-11-10 09:31:00,Gap_L,BUY,1,607.5,3,0.0,19.01,4.24
2023-11-13,2023-11-13 10:47:00,IB_L,BUY,1,607.5,36,0.0,19.59,1.7
2023-11-14,2023-11-14 09:56:00,AE_L,BUY,1,595.0,6,0.0,31.58,0.72
2023-11-14,2023-11-14 11:14:00,Box_S,SELL,1,595.0,12,0.0,22.63,1.34
2023-11-15,2023-11-15 09:54:00,Ext_ORB_S,SELL,1,620.0,192,0.0,18.69,2.33
2023-11-16,2023-11-16 11:46:00,Box_L,BUY,1,616.0,5,0.0,23.38,1.25
2023-11-17,2023-11-17 11:07:00,Box_L,BUY,1,607.5,3,0.0,20.42,1.06
2023-11-20,2023-11-20 11:01:00,IB_L,BUY,1,607.5,71,0.0,19.47,2.78
2023-11-22,2023-11-22 14:25:00,M4_S,SELL,1,607.5,9,0.0,13.58,1.06
2023-11-22,2023-11-22 14:41:00,PH_Rev_L,BUY,1,607.5,10,0.0,16.51,3.62
2023-11-28,2023-11-28 10:40:00,IB_L,BUY,1,607.5,1,0.0,17.98,3.81
2023-11-28,2023-11-28 11:02:00,Retest_L_E,BUY,1,607.5,22,0.0,19.71,0.6
2023-11-29,2023-11-29 15:18:00,PH_Rev_L,BUY,0,-345.0,38,0.0,13.55,1.45
2023-12-05,2023-12-05 09:54:00,Ext_ORB_L,BUY,1,603.0,6,0.0,22.51,1.34
2023-12-06,2023-12-06 15:10:00,PH_Rev_L,BUY,0,-1020.0,11,0.0,15.34,0.82
2023-12-08,2023-12-08 09:45:00,Ext_ORB_L,BUY,1,605.0,26,0.0,18.76,2.31
2023-12-11,2023-12-11 10:33:00,Retest_L_E,BUY,1,607.5,3,0.0,21.2,0.85
2023-12-11,2023-12-11 10:48:00,IB_L,BUY,0,-585.0,18,0.0,21.61,2.43
2023-12-11,2023-12-11 11:06:00,Box_S,SELL,1,607.5,4,0.0,21.64,1.66
