Date,Macro_Rng_Ratio,Macro_IB_Ext,Macro_Ses_RVol,Macro_VIX,Macro_Gap,Macro_VwP_D,Macro_SMA_D,Macro_Auc_V,Regime_Label
2023-07-24,0.0,0.0,0.93,19.83,0.0,-0.08,5.36,0.0,2
2023-07-25,0.81,5.0,0.8,19.93,0.0,0.17,5.93,0.67,0
2023-07-26,0.98,12.0,1.11,19.24,0.0,-0.13,4.98,0.29,2
2023-07-27,1.72,1.0,1.38,20.14,0.06,-1.26,4.45,0.09,1
2023-07-28,1.48,7.0,1.17,18.92,0.0,0.45,6.16,0.86,0
2023-07-31,0.52,1.0,0.9,19.4,0.02,-0.1,5.72,0.32,2
2023-08-01,0.68,11.0,0.88,19.66,-0.01,0.1,5.35,0.59,2
2023-08-02,1.62,1.0,1.22,22.2,-0.17,-0.66,2.68,0.13,1
2023-08-03,0.77,9.0,1.1,22.47,0.0,0.12,2.38,0.6,2
2023-08-04,1.14,8.0,1.32,22.15,-0.02,-0.91,1.48,0.03,1
2023-08-07,0.61,4.0,0.98,20.89,0.02,0.42,2.16,0.99,0
2023-08-08,1.19,4.0,0.98,21.11,0.0,0.25,1.09,0.5,2
2023-08-09,1.2,10.0,1.02,21.6,0.0,-0.62,-0.28,0.1,1
2023-08-10,1.27,4.0,1.35,21.11,-0.01,-0.52,-0.21,0.22,1
2023-08-11,0.94,4.0,1.01,20.62,0.01,-0.17,-1.06,0.23,2
2023-08-14,0.96,1.0,0.92,20.21,0.01,0.58,-0.13,0.97,0
2023-08-15,1.06,1.0,1.02,21.21,0.01,-0.48,-1.13,0.13,1
2023-08-16,0.88,7.0,0.97,21.92,0.01,-0.75,-2.22,0.03,1
2023-08-17,1.07,15.0,1.02,22.54,0.02,-0.62,-3.24,0.19,1
2023-08-18,0.78,8.0,1.14,22.12,0.02,0.32,-3.63,0.72,0
2023-08-21,1.2,5.0,0.94,21.72,0.08,0.87,-2.05,0.95,0
2023-08-22,0.76,5.0,0.98,21.8,0.0,-0.26,-2.32,0.19,2
2023-08-23,1.18,1.0,0.81,21.42,0.0,0.47,-0.94,0.8,0
2023-08-24,2.22,3.0,1.26,22.5,-0.05,-1.71,-3.09,0.01,1
2023-08-25,1.1,10.0,1.34,20.87,0.02,0.71,-2.21,0.81,0
2023-08-28,0.57,6.0,0.97,20.48,0.08,0.32,-1.56,0.76,0
2023-08-29,1.43,5.0,0.82,19.46,-0.01,0.98,0.54,0.94,0
2023-08-30,0.6,15.0,0.91,19.09,-0.01,0.26,1.09,0.81,0
2023-08-31,0.56,2.0,0.9,18.78,0.0,0.03,1.42,0.61,2
2023-09-01,0.8,15.0,0.87,18.45,-0.01,-0.09,1.2,0.34,2
2023-09-05,0.66,3.0,0.97,19.26,0.02,0.17,1.25,0.71,0
2023-09-06,0.88,8.0,0.84,19.83,-0.02,-0.19,0.19,0.34,2
2023-09-07,0.95,10.0,0.96,19.96,0.0,0.16,-0.62,0.48,2
2023-09-08,0.67,7.0,0.85,19.33,0.01,-0.21,-0.56,0.37,2
2023-09-11,0.81,2.0,0.38,18.9,-0.03,0.47,0.58,0.83,0
2023-09-12,0.8,4.0,0.69,19.24,0.8,-0.51,0.79,0.1,2
2023-09-13,0.88,7.0,0.94,18.21,-0.01,0.1,1.07,0.67,0
2023-09-14,0.76,3.0,0.98,17.35,-0.01,0.27,1.84,0.77,0
2023-09-15,1.53,1.0,1.04,18.8,0.0,-0.69,-0.03,0.09,1
2023-09-18,0.53,13.0,0.86,19.06,0.0,0.01,0.08,0.61,2
2023-09-19,0.81,18.0,0.94,19.29,0.0,0.33,-0.12,0.7,0
2023-09-20,1.11,10.0,1.04,20.12,-0.02,-1.08,-1.48,0.02,1
2023-09-21,1.14,1.0,1.12,22.24,0.01,-0.67,-3.41,0.01,1
2023-09-22,0.79,9.0,1.0,21.81,0.0,-0.46,-3.38,0.19,2
2023-09-25,0.68,19.0,1.05,21.87,0.01,0.32,-2.99,0.82,0
2023-09-26,1.21,4.0,1.15,23.14,0.01,-0.49,-4.26,0.14,1
2023-09-27,0.98,6.0,1.25,22.58,0.01,0.1,-3.93,0.63,1
2023-09-28,1.22,8.0,1.29,21.54,0.01,0.53,-2.9,0.73,0
2023-09-29,1.03,2.0,1.3,21.53,0.0,-0.52,-2.86,0.17,1
2023-10-02,0.91,2.0,1.36,21.68,0.29,0.31,-1.95,0.7,0
2023-10-03,1.57,5.0,1.28,23.95,0.0,-0.78,-3.7,0.13,1
2023-10-04,1.47,12.0,1.29,22.61,0.0,0.96,-2.06,0.94,0
2023-10-05,0.95,4.0,1.13,22.73,0.01,0.16,-2.45,0.6,0
2023-10-06,1.97,1.0,1.3,21.46,-0.02,1.54,-0.67,0.91,0
2023-10-09,0.99,5.0,0.9,21.84,-0.25,0.92,-0.11,0.93,0
2023-10-10,0.79,11.0,0.9,21.06,0.01,0.02,0.52,0.48,2
2023-10-11,0.51,8.0,0.89,20.46,-0.02,0.35,1.24,0.9,0
2023-10-12,0.98,3.0,1.02,20.65,-0.01,-0.41,0.93,0.4,2
2023-10-13,1.18,2.0,1.14,22.73,0.01,-0.63,-0.36,0.18,1
2023-10-16,0.98,19.0,0.91,21.41,0.05,0.5,0.99,0.92,0
2023-10-17,1.0,11.0,0.98,21.99,0.0,0.19,0.48,0.72,0
2023-10-18,1.02,9.0,1.15,23.86,0.0,-0.75,-0.94,0.15,1
2023-10-19,1.1,15.0,1.44,24.32,-0.06,-0.76,-1.64,0.19,1
2023-10-20,0.9,8.0,1.04,25.16,0.0,-0.68,-3.15,0.08,1
2023-10-23,1.3,3.0,0.96,24.19,0.12,0.11,-2.85,0.56,1
2023-10-24,0.65,14.0,0.91,22.58,-0.01,0.36,-1.83,0.85,0
2023-10-25,1.52,3.0,0.95,24.48,0.01,-1.01,-4.29,0.05,1
2023-10-26,1.19,9.0,1.22,25.25,-0.12,-0.61,-5.96,0.22,1
2023-10-27,0.72,9.0,1.0,24.56,0.12,-0.43,-5.63,0.17,1
2023-10-30,0.64,7.0,0.81,23.55,0.21,0.32,-4.33,0.73,0
2023-10-31,0.71,8.0,0.85,22.4,0.0,0.63,-3.85,0.96,0
2023-11-01,1.31,6.0,0.89,20.6,0.02,1.18,-2.05,1.0,0
2023-11-02,0.92,10.0,0.72,19.47,0.0,0.49,-0.44,0.95,0
2023-11-03,1.13,2.0,0.77,18.66,-0.14,0.52,0.79,0.83,0
