Date,Timestamp,Engine,Action,Is_Win,Trade_Exact_PnL,Duration_Bars,Micro_Rng,Micro_A5,Micro_RV
2023-07-28,2023-07-28 01:56:00,AsianGrind_L,BUY,1,607.5,76,0.0,13.31,1.46
2023-08-02,2023-08-02 08:37:00,P6_S,SELL,0,-60.0,49,0.0,13.73,1.82
2023-08-08,2023-08-08 02:03:00,Judas_L,BUY,1,607.5,113,0.0,6.66,1.38
2023-08-15,2023-08-15 04:02:00,Pre_Rev_L,BUY,1,607.5,35,0.0,13.94,0.99
2023-08-21,2023-08-21 02:02:00,Judas_L,BUY,1,607.5,60,0.0,6.29,1.45
2023-09-05,2023-09-05 04:15:00,Pre_Rev_L,BUY,1,607.5,39,0.0,12.09,1.43
2023-09-07,2023-09-07 04:30:00,Pre_Rev_L,BUY,1,607.5,23,0.0,12.79,1.4
2023-09-13,2023-09-13 08:43:00,P6_S,SELL,0,-1020.0,9,0.0,21.25,1.38
2023-09-28,2023-09-28 08:01:00,Pre_Brk_S,SELL,0,-1020.0,17,0.0,13.14,1.26
2023-09-28,2023-09-28 08:45:00,P6_S,SELL,1,607.5,1,0.0,20.41,1.97
2023-09-29,2023-09-29 04:30:00,Pre_Rev_S,SELL,1,607.5,28,0.0,11.36,1.12
2023-10-02,2023-10-02 02:05:00,Judas_L,BUY,1,607.5,29,0.0,6.95,1.46
2023-10-04,2023-10-04 01:55:00,Frank_L,BUY,0,-1020.0,22,0.0,10.48,1.11
2023-10-09,2023-10-09 08:43:00,P6_S,SELL,0,-1020.0,17,0.0,13.33,1.14
2023-10-17,2023-10-17 02:21:00,Judas_L,BUY,1,607.5,44,0.0,5.48,1.34
2023-10-25,2023-10-25 02:16:00,Judas_L,BUY,0,-1020.0,66,0.0,6.16,1.34
2023-10-31,2023-10-31 01:30:00,Frank_L,BUY,1,607.5,70,0.0,8.31,0.81
2023-11-08,2023-11-08 02:10:00,Judas_L,BUY,1,607.5,72,0.0,5.27,1.0
