Timestamp,Symbol,Action,Theo_Price,Real_Price,Slippage_Pts,Qty,SL_Points,Engine,Trade_Duration_Mins,Telemetry,Status,Account_PnL_Context,Trade_Exact_PnL,Rng,A5,RV,Net_Points,R_Multiple,Session_Range,Session_Volume,SMA200,Vol_SMA50,Regime_Dist,Module
2023-08-01 11:01:00,MCL,SELL,81.07,81.07,,,,Pit_Brk_S,,Pit_Brk_S|Rng:0.56|A5:0.21|RV:1.08,CLOSED_LOSS,-1035,-1035,,,,,,,,,,,MCL
2023-08-08 03:21:00,MCL,SELL,81.22,81.22,,,,Lon_Brk_S,,Lon_Brk_S|Rng:0.31|A5:0.09|RV:3.68,CLOSED_WIN,630,630,,,,,,,,,,,MCL
2023-08-15 10:00:00,MCL,SELL,80.93,80.93,,,,Pit_Brk_S,,Pit_Brk_S|Rng:1.69|A5:0.22|RV:4.06,CLOSED_WIN,630,630,,,,,,,,,,,MCL
2023-08-21 06:18:00,MCL,BUY,81.54,81.54,,,,Lon_Brk_L,,Lon_Brk_L|Rng:0.61|A5:0.1|RV:11.15,CLOSED_LOSS,-1035,-1035,,,,,,,,,,,MCL
2023-09-20 03:27:00,MCL,SELL,89.29,89.29,,,,Lon_Brk_S,,Lon_Brk_S|Rng:0.52|A5:0.11|RV:4.48,CLOSED_LOSS,-1035,-1035,,,,,,,,,,,MCL
2023-09-26 03:03:00,MCL,SELL,88.65,88.65,,,,Lon_Brk_S,,Lon_Brk_S|Rng:0.16|A5:0.09|RV:1.99,CLOSED_WIN,630,630,,,,,,,,,,,MCL
2023-09-27 04:17:00,MCL,BUY,91.5,91.5,,,,Lon_Brk_L,,Lon_Brk_L|Rng:0.57|A5:0.11|RV:1.12,CLOSED_WIN,630,630,,,,,,,,,,,MCL
2023-09-28 04:31:00,MCL,SELL,93.62,93.62,,,,Lon_Brk_S,,Lon_Brk_S|Rng:0.93|A5:0.16|RV:3.04,CLOSED_WIN,630,630,,,,,,,,,,,MCL
2023-09-29 09:48:00,MCL,SELL,91.37,91.37,,,,Pit_Brk_S,,Pit_Brk_S|Rng:1.58|A5:0.24|RV:3.1,CLOSED_WIN,630,630,,,,,,,,,,,MCL
2023-10-04 09:35:00,MCL,SELL,86.86,86.86,,,,Pit_Brk_S,,Pit_Brk_S|Rng:1.86|A5:0.23|RV:1.68,CLOSED_WIN,630,630,,,,,,,,,,,MCL
2023-10-08 21:01:00,MCL,BUY,86.69,86.69,,,,Asia_Brk_L,,Asia_Brk_L|Rng:1.63|A5:0.22|RV:9.08,CLOSED_WIN,630,630,,,,,,,,,,,MCL
2023-10-10 10:35:00,MCL,SELL,85.26,85.26,,,,Pit_Brk_S,,Pit_Brk_S|Rng:1.44|A5:0.26|RV:3.13,CLOSED_LOSS,-1035,-1035,,,,,,,,,,,MCL
2023-10-11 09:27:00,MCL,SELL,84.94,84.94,,,,Pit_Brk_S,,Pit_Brk_S|Rng:1.55|A5:0.25|RV:4.75,CLOSED_WIN,630,630,,,,,,,,,,,MCL
2023-10-17 11:25:00,MCL,SELL,86.22,86.22,,,,Pit_Brk_S,,Pit_Brk_S|Rng:0.76|A5:0.26|RV:2.74,CLOSED_WIN,630,630,,,,,,,,,,,MCL
2023-10-18 05:24:00,MCL,BUY,87.91,87.91,,,,Lon_Brk_L,,Lon_Brk_L|Rng:1.11|A5:0.14|RV:5.99,CLOSED_WIN,630,630,,,,,,,,,,,MCL
2023-10-24 09:25:00,MCL,SELL,85.03,85.03,,,,Pit_Brk_S,,Pit_Brk_S|Rng:1.18|A5:0.2|RV:3.02,CLOSED_WIN,630,630,,,,,,,,,,,MCL
2023-10-27 04:19:00,MCL,BUY,84.87,84.87,,,,Lon_Brk_L,,Lon_Brk_L|Rng:0.68|A5:0.13|RV:4.45,CLOSED_WIN,630,630,,,,,,,,,,,MCL
2023-10-31 09:31:00,MCL,SELL,82.35,82.35,,,,Pit_Brk_S,,Pit_Brk_S|Rng:0.81|A5:0.22|RV:4.5,CLOSED_WIN,630,630,,,,,,,,,,,MCL
2023-11-03 13:02:00,MCL,BUY,80.72,80.72,,,,PM_Fade_L,,PM_Fade_L|Rng:1.44|A5:0.28|RV:1.13,CLOSED_WIN,630,630,,,,,,,,,,,MCL
2023-11-07 03:02:00,MCL,SELL,79.67,79.67,,,,Lon_Brk_S,,Lon_Brk_S|Rng:0.33|A5:0.1|RV:3.73,CLOSED_WIN,630,630,,,,,,,,,,,MCL
2023-11-08 10:55:00,MCL,SELL,75.84,75.84,,,,Pit_Brk_S,,Pit_Brk_S|Rng:1.65|A5:0.25|RV:0.76,CLOSED_WIN,630,630,,,,,,,,,,,MCL
2023-11-16 13:01:00,MCL,BUY,72.6,72.6,,,,PM_Fade_L,,PM_Fade_L|Rng:0.9|A5:0.2|RV:2.78,CLOSED_WIN,630,630,,,,,,,,,,,MCL
2023-11-20 05:56:00,MCL,BUY,76.93,76.93,,,,Lon_Brk_L,,Lon_Brk_L|Rng:0.71|A5:0.14|RV:3.48,CLOSED_WIN,630,630,,,,,,,,,,,MCL
2023-11-22 10:03:00,MCL,SELL,73.9,73.9,,,,Pit_Brk_S,,Pit_Brk_S|Rng:3.89|A5:0.31|RV:4.86,CLOSED_LOSS,-1035,-1035,,,,,,,,,,,MCL
2023-11-29 10:01:00,MCL,SELL,76.31,76.31,,,,Pit_Brk_S,,Pit_Brk_S|Rng:1.52|A5:0.19|RV:4.23,CLOSED_WIN,630,630,,,,,,,,,,,MCL
2023-11-30 03:16:00,MCL,BUY,78.66,78.66,,,,Lon_Brk_L,,Lon_Brk_L|Rng:0.37|A5:0.14|RV:3.03,CLOSED_WIN,630,630,,,,,,,,,,,MCL
2023-12-04 03:03:00,MCL,SELL,73.3,73.3,,,,Lon_Brk_S,,Lon_Brk_S|Rng:0.13|A5:0.07|RV:5.33,CLOSED_WIN,630,630,,,,,,,,,,,MCL
