Date,Timestamp,Engine,Action,Is_Win,Trade_Exact_PnL,Duration_Bars,Micro_Rng,Micro_A5,Micro_RV,Macro_Rng_Ratio,Macro_IB_Ext,Macro_Ses_RVol,Macro_VIX,Macro_Gap,Macro_VwP_D,Macro_SMA_D,Macro_Auc_V,Regime_Label,Module
2023-08-01,2023-08-01 11:01:00,Pit_Brk_S,SELL,0,-1035.0,148,0.56,0.21,1.08,0.62,8.0,0.86,28.34,-0.01,0.33,12.0,0.76,2,MCL
2023-08-08,2023-08-08 03:21:00,Lon_Brk_S,SELL,1,630.0,133,0.31,0.09,3.68,1.46,6.0,1.42,27.15,0.02,1.87,12.41,0.94,2,MCL
2023-08-15,2023-08-15 10:00:00,Pit_Brk_S,SELL,1,630.0,5,1.69,0.22,4.06,1.17,0.0,1.09,28.36,0.01,-0.48,8.01,0.24,0,MCL
2023-08-21,2023-08-21 06:18:00,Lon_Brk_L,BUY,0,-1035.0,213,0.61,0.1,11.15,0.85,5.0,0.91,28.9,0.01,-0.96,5.92,0.1,0,MCL
2023-09-20,2023-09-20 03:27:00,Lon_Brk_S,SELL,0,-1035.0,177,0.52,0.11,4.48,1.06,13.0,1.82,30.31,0.0,-0.75,9.23,0.18,0,MCL
2023-09-26,2023-09-26 03:03:00,Lon_Brk_S,SELL,1,630.0,31,0.16,0.09,1.99,1.26,1.0,1.06,31.31,0.0,1.14,9.31,0.96,2,MCL
2023-09-27,2023-09-27 04:17:00,Lon_Brk_L,BUY,1,630.0,137,0.57,0.11,1.12,1.85,1.0,1.56,32.5,0.0,1.11,12.48,0.86,2,MCL
2023-09-28,2023-09-28 04:31:00,Lon_Brk_S,SELL,1,630.0,110,0.93,0.16,3.04,1.72,6.0,1.28,31.65,0.0,-1.52,9.73,0.09,0,MCL
2023-09-29,2023-09-29 09:48:00,Pit_Brk_S,SELL,1,630.0,19,1.58,0.24,3.1,1.25,5.0,1.12,32.27,-0.03,-0.76,8.25,0.18,0,MCL
2023-10-04,2023-10-04 09:35:00,Pit_Brk_S,SELL,1,630.0,12,1.86,0.23,1.68,2.37,3.0,1.29,35.39,0.0,-2.12,0.08,0.11,0,MCL
